c Pb de flot max
c pb lines (nodes,links)
p 2502 7450
c source
n 1 s
c sink
n 2502 t
c arc(from,to,capa,flot)
a 1 2 3000000 0
a 1 3 3000000 0
a 1 4 3000000 0
a 1 5 3000000 944757
a 1 6 3000000 588095
a 1 7 3000000 1369393
a 1 8 3000000 821137
a 1 9 3000000 541334
a 1 10 3000000 139410
a 1 11 3000000 303828
a 1 12 3000000 956112
a 1 13 3000000 1596640
a 1 14 3000000 434847
a 1 15 3000000 673888
a 1 16 3000000 1546503
a 1 17 3000000 615703
a 1 18 3000000 1471421
a 1 19 3000000 645184
a 1 20 3000000 582743
a 1 21 3000000 880706
a 1 22 3000000 1240796
a 1 23 3000000 186987
a 1 24 3000000 1614056
a 1 25 3000000 933990
a 1 26 3000000 988107
a 1 27 3000000 559528
a 1 28 3000000 678547
a 1 29 3000000 935753
a 1 30 3000000 935410
a 1 31 3000000 1822573
a 1 32 3000000 407588
a 1 33 3000000 774354
a 1 34 3000000 861492
a 1 35 3000000 1392679
a 1 36 3000000 461219
a 1 37 3000000 1110523
a 1 38 3000000 376223
a 1 39 3000000 1003243
a 1 40 3000000 892271
a 1 41 3000000 721314
a 1 42 3000000 731033
a 1 43 3000000 1329096
a 1 44 3000000 572880
a 1 45 3000000 722547
a 1 46 3000000 1795310
a 1 47 3000000 736590
a 1 48 3000000 1521942
a 1 49 3000000 1144408
a 1 50 3000000 1516287
a 1 51 3000000 713424
a 2 101 600991 0
a 2 52 524508 0
a 2 53 665358 0
a 3 52 91286 0
a 3 53 561015 0
a 3 54 547251 0
a 4 53 935384 0
a 4 54 676763 0
a 4 55 396754 0
a 5 54 622962 118046
a 5 55 826711 826711
a 5 56 366056 0
a 6 55 492775 492775
a 6 56 834716 95320
a 6 57 708891 0
a 7 56 916291 916291
a 7 57 712933 0
a 7 58 455049 453102
a 8 57 943068 717579
a 8 58 103558 103558
a 8 59 897939 0
a 9 58 541334 541334
a 9 59 664874 0
a 9 60 886301 0
a 10 59 996187 139410
a 10 60 147648 0
a 10 61 589775 0
a 11 60 406300 166050
a 11 61 500416 137778
a 11 62 672557 0
a 12 61 705888 705888
a 12 62 617758 66024
a 12 63 713416 184200
a 13 62 887597 887597
a 13 63 709043 709043
a 13 64 274431 0
a 14 63 434847 434847
a 14 64 644427 0
a 14 65 467545 0
a 15 64 831600 673888
a 15 65 267388 0
a 15 66 294256 0
a 16 65 714008 467492
a 16 66 760163 584399
a 16 67 645323 494612
a 17 66 422898 422898
a 17 67 192805 192805
a 17 68 874607 0
a 18 67 394299 394299
a 18 68 652225 582606
a 18 69 494516 494516
a 19 68 292237 292237
a 19 69 193558 193558
a 19 70 159389 159389
a 20 69 178537 178537
a 20 70 189744 189744
a 20 71 823389 214462
a 21 70 284663 284663
a 21 71 596043 596043
a 21 72 323804 0
a 22 71 473572 473572
a 22 72 818282 767224
a 22 73 941561 0
a 23 72 186987 186987
a 23 73 705878 0
a 23 74 166955 0
a 24 73 977769 973065
a 24 74 657077 215603
a 24 75 811381 425388
a 25 74 445314 445314
a 25 75 488676 488676
a 25 76 78769 0
a 26 75 255921 255921
a 26 76 719035 376903
a 26 77 355283 355283
a 27 76 417595 417595
a 27 77 141933 141933
a 27 78 64439 0
a 28 77 292201 292201
a 28 78 536231 386346
a 28 79 716663 0
a 29 78 786716 786716
a 29 79 344819 149037
a 29 80 910221 0
a 30 79 462456 462456
a 30 80 523356 472954
a 30 81 616316 0
a 31 80 285844 285844
a 31 81 808018 808018
a 31 82 728711 728711
a 32 81 125999 125999
a 32 82 281589 281589
a 32 83 63344 0
a 33 82 67559 67559
a 33 83 984928 706795
a 33 84 285574 0
a 34 83 234514 234514
a 34 84 962696 626978
a 34 85 942650 0
a 35 84 562246 562246
a 35 85 408009 240848
a 35 86 947677 589585
a 36 85 157366 157366
a 36 86 180281 180281
a 36 87 666712 123572
a 37 86 512648 512648
a 37 87 597875 597875
a 37 88 324996 0
a 38 87 93439 93439
a 38 88 890075 70127
a 38 89 377578 212657
a 39 88 810101 810101
a 39 89 193142 193142
a 39 90 722396 0
a 40 89 236673 236673
a 40 90 655598 655598
a 40 91 245751 0
a 41 90 369341 369341
a 41 91 941441 129800
a 41 92 570121 222173
a 42 91 614403 614403
a 42 92 67440 67440
a 42 93 368061 49190
a 43 92 677746 677746
a 43 93 651350 651350
a 43 94 352988 0
a 44 93 479671 479671
a 44 94 402215 0
a 44 95 315684 93209
a 45 94 422320 241734
a 45 95 480813 480813
a 45 96 240044 0
a 46 95 886349 886349
a 46 96 638178 638178
a 46 97 420325 270783
a 47 96 69412 69412
a 47 97 667178 667178
a 47 98 18199 0
a 48 97 394407 394407
a 48 98 760616 702909
a 48 99 424626 424626
a 49 98 771984 771984
a 49 99 87068 87068
a 49 100 617767 285356
a 50 99 10731 10731
a 50 100 840093 840093
a 50 101 789716 665463
a 51 100 256482 256482
a 51 101 209433 209433
a 51 52 247509 247509
a 52 151 342954 0
a 52 102 340187 0
a 52 103 831300 247509
a 53 102 711014 0
a 53 103 534284 0
a 53 104 999001 0
a 54 103 580354 104091
a 54 104 13955 13955
a 54 105 401216 0
a 55 104 896037 373299
a 55 105 952626 791625
a 55 106 398380 154562
a 56 105 136080 136080
a 56 106 838974 838974
a 56 107 36557 36557
a 57 106 72756 72756
a 57 107 424737 424737
a 57 108 220086 220086
a 58 107 90955 90955
a 58 108 335495 335495
a 58 109 980701 671544
a 59 108 31932 31932
a 59 109 107478 107478
a 59 110 584121 0
a 60 109 166050 166050
a 60 110 634561 0
a 60 111 424213 0
a 61 110 955766 254861
a 61 111 407394 258434
a 61 112 633645 330371
a 62 111 203274 203274
a 62 112 750347 750347
a 62 113 973831 0
a 63 112 550925 550925
a 63 113 977712 777165
a 63 114 508114 0
a 64 113 549925 549925
a 64 114 558065 123963
a 64 115 38420 0
a 65 114 467492 467492
a 65 115 970453 0
a 65 116 991046 0
a 66 115 865871 554393
a 66 116 106533 106533
a 66 117 346371 346371
a 67 116 902428 902428
a 67 117 179288 179288
a 67 118 287460 0
a 68 117 122513 122513
a 68 118 786594 574364
a 68 119 622954 177966
a 69 118 619566 494516
a 69 119 818525 299639
a 69 120 246784 72456
a 70 119 203686 159389
a 70 120 500927 474407
a 70 121 881344 0
a 71 120 627898 627898
a 71 121 456692 367442
a 71 122 288737 288737
a 72 121 777894 777894
a 72 122 176317 176317
a 72 123 39083 0
a 73 122 268076 268076
a 73 123 727241 579433
a 73 124 533146 125556
a 74 123 292541 292541
a 74 124 277165 277165
a 74 125 91211 91211
a 75 124 847313 847313
a 75 125 261009 261009
a 75 126 61663 61663
a 76 125 354710 354710
a 76 126 126879 126879
a 76 127 684547 312909
a 77 126 701080 355283
a 77 127 545658 53947
a 77 128 380187 380187
a 78 127 988539 988539
a 78 128 184523 184523
a 78 129 683132 0
a 79 128 611493 611493
a 79 129 804088 0
a 79 130 18009 0
a 80 129 858276 706473
a 80 130 524125 52325
a 80 131 518935 0
a 81 130 255971 101478
a 81 131 668374 192167
a 81 132 975626 640372
a 82 131 544707 115240
a 82 132 962619 962619
a 82 133 668294 0
a 83 132 100141 100141
a 83 133 747046 445634
a 83 134 395534 395534
a 84 133 633286 633286
a 84 134 555938 555938
a 84 135 189050 0
a 85 134 240848 240848
a 85 135 403250 157366
a 85 136 966410 0
a 86 135 818863 704474
a 86 136 757959 484751
a 86 137 93289 93289
a 87 136 19761 19761
a 87 137 975391 762052
a 87 138 155298 33073
a 88 137 399947 399947
a 88 138 480281 480281
a 88 139 339820 0
a 89 138 599431 599431
a 89 139 91773 43041
a 89 140 660259 0
a 90 139 617439 558539
a 90 140 466400 466400
a 90 141 184383 0
a 91 140 136373 136373
a 91 141 238722 238722
a 91 142 369108 369108
a 92 141 628350 211581
a 92 142 783428 650777
a 92 143 331726 105001
a 93 142 296643 296643
a 93 143 883568 883568
a 93 144 595123 0
a 94 143 208528 208528
a 94 144 33206 33206
a 94 145 151061 0
a 95 144 913929 898470
a 95 145 790405 219876
a 95 146 554310 342025
a 96 145 880339 98323
a 96 146 609267 609267
a 96 147 828621 0
a 97 146 489979 489979
a 97 147 629028 263323
a 97 148 804011 579066
a 98 147 645276 645276
a 98 148 545326 545326
a 98 149 284291 284291
a 99 148 985096 366938
a 99 149 144756 144756
a 99 150 892416 10731
a 100 149 161706 161706
a 100 150 762194 648597
a 100 151 875167 571628
a 101 150 346089 346089
a 101 151 414918 414918
a 101 102 113889 113889
a 102 201 231548 0
a 102 152 559619 0
a 102 153 413668 113889
a 103 152 79626 0
a 103 153 856261 104091
a 103 154 813588 247509
